taxonomy	Kingdom	Phylum	Class	Order	Family	Genus
ASV_3299	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_33	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_330	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	E1B-B3-114
ASV_3300	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA
ASV_3301	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3 termite group	NA
ASV_3302	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_3303	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
ASV_3304	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA
ASV_3305	Bacteria	Armatimonadota	NA	NA	NA	NA
ASV_3306	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
ASV_3307	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Candidatus Nostocoida
ASV_3308	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas
ASV_3309	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA
ASV_331	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma
ASV_3310	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella
ASV_3311	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA
ASV_3312	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	NA
ASV_3313	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter
ASV_3314	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA
ASV_3315	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_3316	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA
ASV_3317	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
ASV_3318	Bacteria	Acidobacteriota	Acidobacteriae	GOUTB8	NA	NA
ASV_3319	Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Pelospora
ASV_332	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
ASV_3320	Bacteria	Actinobacteriota	RBG-16-55-12	NA	NA	NA
ASV_3321	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_3322	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NA	NA
ASV_3323	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Telluria
ASV_3324	Bacteria	Chloroflexi	Anaerolineae	NA	NA	NA
ASV_3325	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Sporobacter
ASV_3326	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
ASV_3327	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	NA
ASV_3328	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_3329	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_333	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sulfuricellaceae	Sulfuricella
ASV_3330	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
ASV_3331	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_3332	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA
ASV_3333	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_3334	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA
ASV_3335	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA
ASV_3336	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum
ASV_3337	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Oryzihumus
ASV_3338	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella
ASV_3339	Bacteria	Bacteroidota	Ignavibacteria	SJA-28	NA	NA
ASV_334	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
ASV_3340	Bacteria	Armatimonadota	NA	NA	NA	NA
ASV_3341	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_3342	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA
ASV_3343	Bacteria	WS1	NA	NA	NA	NA
ASV_3344	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_3345	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_3346	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Oryzihumus
ASV_3347	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ASV_3348	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
ASV_3349	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella
ASV_335	Bacteria	Firmicutes	Clostridia	NA	NA	NA
ASV_3350	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_3351	Bacteria	NA	NA	NA	NA	NA
ASV_3352	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_3353	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus
ASV_3354	Bacteria	RCP2-54	NA	NA	NA	NA
ASV_3355	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage
ASV_3356	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV_3357	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Ammoniphilus
ASV_3358	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_3359	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_336	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA
ASV_3360	Bacteria	Chloroflexi	AD3	NA	NA	NA
ASV_3361	Bacteria	Patescibacteria	Microgenomatia	Candidatus Gottesmanbacteria	NA	NA
ASV_3362	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_3363	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_3364	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV_3365	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Pelosinus
ASV_3366	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus
ASV_3367	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA
ASV_3368	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA
ASV_3369	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 15	NA	NA
ASV_337	Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA
ASV_3370	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella
ASV_3371	Bacteria	Actinobacteriota	RBG-16-55-12	NA	NA	NA
ASV_3372	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_3373	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA
ASV_3374	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group
ASV_3375	Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum
ASV_3376	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA
ASV_3377	Bacteria	NA	NA	NA	NA	NA
ASV_3378	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Agrococcus
ASV_3379	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter
ASV_338	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Lenti-02	NA
ASV_3380	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA
ASV_3381	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA
ASV_3382	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
ASV_3383	Bacteria	Elusimicrobiota	Lineage IIa	NA	NA	NA
ASV_3384	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
ASV_3385	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_3386	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	GWF2-44-16	NA
ASV_3387	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas
ASV_3388	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
ASV_3389	Bacteria	Bacteroidota	Ignavibacteria	SJA-28	NA	NA
ASV_339	Bacteria	Nitrospirota	4/29/01	NA	NA	NA
ASV_3390	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera
ASV_3391	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
ASV_3392	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Lenti-02	NA
ASV_3393	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
ASV_3394	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA
ASV_3395	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA
ASV_3396	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
ASV_3397	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	OLB12
ASV_3398	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 13	NA	NA
ASV_3399	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA
ASV_34	Bacteria	WS1	NA	NA	NA	NA
ASV_340	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_3400	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter
ASV_3401	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA
ASV_3402	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
ASV_3403	Bacteria	Actinobacteriota	WCHB1-81	NA	NA	NA
ASV_3404	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	NA	NA
ASV_3405	Bacteria	NA	NA	NA	NA	NA
ASV_3406	Bacteria	Armatimonadota	NA	NA	NA	NA
ASV_3407	Bacteria	Chloroflexi	Dehalococcoidia	vadinBA26	NA	NA
ASV_3408	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	HN-HF0106
ASV_3409	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 13
ASV_341	Bacteria	WPS-2	NA	NA	NA	NA
ASV_3410	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Rhodoblastus
ASV_3411	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia
ASV_3412	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Lysinimicrobium
ASV_3413	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas
ASV_3414	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_3415	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas
ASV_3416	Bacteria	Patescibacteria	Berkelbacteria	NA	NA	NA
ASV_3417	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_3418	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA
ASV_3419	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_342	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus
ASV_3420	Bacteria	Chloroflexi	Ktedonobacteria	C0119	NA	NA
ASV_3421	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
ASV_3422	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
ASV_3423	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_3424	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter
ASV_3425	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
ASV_3426	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_3427	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
ASV_3428	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Pelosinus
ASV_3429	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Telluria
ASV_343	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_3430	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_3431	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_3432	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_3433	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Telluria
ASV_3434	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_3435	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA
ASV_3436	Bacteria	NA	NA	NA	NA	NA
ASV_3437	Bacteria	WPS-2	NA	NA	NA	NA
ASV_3438	Bacteria	Acidobacteriota	Acidobacteriae	GOUTB8	NA	NA
ASV_3439	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
ASV_344	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Oryzihumus
ASV_3440	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA
ASV_3441	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parablastomonas
ASV_3442	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	NA	NA
ASV_3443	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanosarcina
ASV_3444	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA
ASV_3445	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	BSV13
ASV_3446	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Telluria
ASV_3447	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Nitrobacter
ASV_3448	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_3449	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax
ASV_345	Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum
ASV_3450	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
ASV_3451	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA
ASV_3452	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus
ASV_3453	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA
ASV_3454	Bacteria	Elusimicrobiota	Lineage IIa	NA	NA	NA
ASV_3455	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula
ASV_3456	Bacteria	Acidobacteriota	Subgroup 5	NA	NA	NA
ASV_3457	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA
ASV_3458	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Propionivibrio
ASV_3459	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella
ASV_346	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA
ASV_3460	Bacteria	Patescibacteria	NA	NA	NA	NA
ASV_3461	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Syntrophaceae	Syntrophus
ASV_3462	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA
ASV_3463	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	OLB12
ASV_3464	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_3465	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_3466	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_3467	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA
ASV_3468	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Oryzihumus
ASV_3469	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_347	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA
ASV_3470	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
ASV_3471	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_3472	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA
ASV_3473	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 13
ASV_3474	Bacteria	Firmicutes	NA	NA	NA	NA
ASV_3475	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_3476	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus
ASV_3477	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV_3478	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Gallionella
ASV_3479	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_348	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA
ASV_3480	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	NA
ASV_3481	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_3482	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_3483	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_3484	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_3485	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus
ASV_3486	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Bauldia
ASV_3487	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV_3488	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Candidatus Planktophila
ASV_3489	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_349	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Nitrobacter
ASV_3490	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
ASV_3491	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_3492	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA
ASV_3493	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Lenti-02	NA
ASV_3494	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
ASV_3495	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_3496	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ASV_3497	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
ASV_3498	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564 sediment group	NA
ASV_3499	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA
ASV_35	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_350	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
ASV_3500	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	NA	NA
ASV_3501	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ethanoligenenaceae	Incertae Sedis
ASV_3502	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	E1B-B3-114
ASV_3503	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_3504	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Aquamonas
ASV_3505	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
ASV_3506	Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum
ASV_3507	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
ASV_3508	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
ASV_3509	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA
ASV_351	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA
ASV_3510	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
ASV_3511	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
ASV_3512	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA
ASV_3513	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA
ASV_3514	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA
ASV_3515	Bacteria	Chloroflexi	SHA-26	NA	NA	NA
ASV_3516	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
ASV_3517	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
ASV_3518	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum
ASV_3519	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_352	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_3520	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA
ASV_3521	Bacteria	WS1	NA	NA	NA	NA
ASV_3522	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Oryzihumus
ASV_3523	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	NA	NA
ASV_3524	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA
ASV_3525	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA
ASV_3526	Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum
ASV_3527	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus
ASV_3528	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA
ASV_3529	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovastum
ASV_353	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_3530	Bacteria	Chloroflexi	Chloroflexia	Elev-1554	NA	NA
ASV_3531	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocapsa
ASV_3532	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Terriglobus
ASV_3533	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera
ASV_3534	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin516
ASV_3535	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
ASV_3536	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
ASV_3537	Bacteria	Chloroflexi	AD3	NA	NA	NA
ASV_3538	Bacteria	NA	NA	NA	NA	NA
ASV_3539	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
ASV_354	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_3540	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
ASV_3541	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_3542	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
ASV_3543	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
ASV_3544	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA
ASV_3545	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tibeticola
ASV_3546	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA
ASV_3547	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Telluria
ASV_3548	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
ASV_3549	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA
ASV_355	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Huanghella
